; PERSON  r2Winsteps  Apr  1 2016 12:33
;ENTRY MEASURE ST   COUNT    SCORE MODLSE IN.MSQ IN.ZST OUT.MS OUT.ZS  DISPL   PTMA WEIGHT OBSMA EXPMA PMA-E  RMSR    WMLE NAME
     1   -3.23 -1     5.0       .0   1.93   1.00    .00   1.00    .00    .00    .00   1.00 100.0 100.0   .00   .00   -3.23 1086 | Male   | Black
    15    -.52  1     5.0      2.0   1.03   1.32    .79   1.20    .50    .00    .24   1.00  60.0  72.3   .46   .50    -.46 932  | Female | White
    16    -.52  1     5.0      2.0   1.03   1.32    .79   1.20    .50    .00    .24   1.00  60.0  72.3   .46   .50    -.46 935  | Female | Latino
    17    -.52  1     5.0      2.0   1.03   1.32    .79   1.20    .50    .00    .24   1.00  60.0  72.3   .46   .50    -.46 1007 | Male   | Asian
    18    -.52  1     5.0      2.0   1.03   1.32    .79   1.20    .50    .00    .24   1.00  60.0  72.3   .46   .50    -.46 1001 | Female | White
    19    -.52  1     5.0      2.0   1.03   1.32    .79   1.20    .50    .00    .24   1.00  60.0  72.3   .46   .50    -.46 928  | Male   | Latino
    20    -.52  1     5.0      2.0   1.03   1.32    .79   1.20    .50    .00    .24   1.00  60.0  72.3   .46   .50    -.46 934  | Male   | White
    21    -.52  1     5.0      2.0   1.03   1.32    .79   1.20    .50    .00    .24   1.00  60.0  72.3   .46   .50    -.46 1023 | Male   | Latino
    22    -.52  1     5.0      2.0   1.03   1.32    .79   1.20    .50    .00    .24   1.00  60.0  72.3   .46   .50    -.46 943  | Male   | White
    23   -1.72  1     5.0      1.0   1.21   1.83   1.27   5.97   2.36    .00   -.74   1.00  80.0  80.0   .37   .50   -1.41 814  | Female | White
    24    -.52  1     5.0      2.0   1.03   1.80   1.61   2.59   2.01    .00   -.31   1.00  60.0  72.3   .46   .58    -.46 973  | Female | Asian
    25    -.52  1     5.0      2.0   1.03   2.30   2.31   3.00   2.34    .00   -.67   1.00  20.0  72.3   .46   .66    -.46 1144 | Male   | White
    26    -.52  1     5.0      2.0   1.03   2.30   2.31   3.00   2.34    .00   -.67   1.00  20.0  72.3   .46   .66    -.46 974  | Male   | White
    27    -.52  1     5.0      2.0   1.03   2.30   2.31   3.00   2.34    .00   -.67   1.00  20.0  72.3   .46   .66    -.46 1078 | Female | White
    28     .52  1     5.0      3.0   1.03   1.91   1.80   2.56   2.00    .00   -.37   1.00  60.0  70.5   .46   .60     .45 909  | Female | White
    29     .52  1     5.0      3.0   1.03   1.91   1.80   2.56   2.00    .00   -.37   1.00  60.0  70.5   .46   .60     .45 989  | Female | Black
    30     .52  1     5.0      3.0   1.03   1.91   1.80   2.56   2.00    .00   -.37   1.00  60.0  70.5   .46   .60     .45 1166 | Female | Asian
    31     .52  1     5.0      3.0   1.03   1.91   1.80   2.56   2.00    .00   -.37   1.00  60.0  70.5   .46   .60     .45 1217 | Female | Latino
    32   -1.72  1     5.0      1.0   1.21   1.66   1.08   2.24   1.15    .00   -.26   1.00  80.0  80.0   .37   .48   -1.41 756  | Female | Latino
    33    -.52  1     5.0      2.0   1.03   1.49   1.10   1.42    .81    .00    .09   1.00  60.0  72.3   .46   .53    -.46 1040 | Female | Asian
    34    -.52  1     5.0      2.0   1.03   1.49   1.10   1.42    .81    .00    .09   1.00  60.0  72.3   .46   .53    -.46 1027 | Male   | White
    35    -.52  1     5.0      2.0   1.03   1.49   1.10   1.42    .81    .00    .09   1.00  60.0  72.3   .46   .53    -.46 1106 | Female | White
    36    -.52  1     5.0      2.0   1.03   1.49   1.10   1.42    .81    .00    .09   1.00  60.0  72.3   .46   .53    -.46 996  | Male   | Black
    37    -.52  1     5.0      2.0   1.03   1.49   1.10   1.42    .81    .00    .09   1.00  60.0  72.3   .46   .53    -.46 908  | Male   | White
    38    -.52  1     5.0      2.0   1.03   1.49   1.10   1.42    .81    .00    .09   1.00  60.0  72.3   .46   .53    -.46 1134 | Male   | White
    39    -.52  1     5.0      2.0   1.03   1.49   1.10   1.42    .81    .00    .09   1.00  60.0  72.3   .46   .53    -.46 920  | Male   | White
    40    -.52  1     5.0      2.0   1.03   1.49   1.10   1.42    .81    .00    .09   1.00  60.0  72.3   .46   .53    -.46 975  | Female | White
    41     .52  1     5.0      3.0   1.03   1.40    .96   2.04   1.51    .00    .03   1.00  60.0  70.5   .46   .51     .45 1035 | Female | Latino
    42     .52  1     5.0      3.0   1.03   1.40    .96   2.04   1.51    .00    .03   1.00  60.0  70.5   .46   .51     .45 980  | Male   | White
    43     .52  1     5.0      3.0   1.03   1.40    .96   2.04   1.51    .00    .03   1.00  60.0  70.5   .46   .51     .45 1016 | Female | White
    44     .52  1     5.0      3.0   1.03   1.40    .96   2.04   1.51    .00    .03   1.00  60.0  70.5   .46   .51     .45 1070 | Female | White
    45     .52  1     5.0      3.0   1.03   1.40    .96   2.04   1.51    .00    .03   1.00  60.0  70.5   .46   .51     .45 1197 | Female | White
    46     .52  1     5.0      3.0   1.03   1.40    .96   2.04   1.51    .00    .03   1.00  60.0  70.5   .46   .51     .45 925  | Male   | White
    47     .52  1     5.0      3.0   1.03   1.40    .96   2.04   1.51    .00    .03   1.00  60.0  70.5   .46   .51     .45 1234 | Male   | White
    48     .52  1     5.0      3.0   1.03   1.40    .96   2.04   1.51    .00    .03   1.00  60.0  70.5   .46   .51     .45 1145 | Male   | White
    49     .52  1     5.0      3.0   1.03   1.40    .96   2.04   1.51    .00    .03   1.00  60.0  70.5   .46   .51     .45 962  | Female | White
    50     .52  1     5.0      3.0   1.03   1.40    .96   2.04   1.51    .00    .03   1.00  60.0  70.5   .46   .51     .45 1059 | Male   | White
    51     .52  1     5.0      3.0   1.03   1.40    .96   2.04   1.51    .00    .03   1.00  60.0  70.5   .46   .51     .45 1020 | Male   | Latino
    52     .52  1     5.0      3.0   1.03   1.40    .96   2.04   1.51    .00    .03   1.00  60.0  70.5   .46   .51     .45 1043 | Male   | White
    53     .52  1     5.0      3.0   1.03   1.40    .96   2.04   1.51    .00    .03   1.00  60.0  70.5   .46   .51     .45 889  | Male   | White
    54     .52  1     5.0      3.0   1.03   1.40    .96   2.04   1.51    .00    .03   1.00  60.0  70.5   .46   .51     .45 1102 | Female | White
    55     .52  1     5.0      3.0   1.03   1.40    .96   2.04   1.51    .00    .03   1.00  60.0  70.5   .46   .51     .45 701  | Male   | White
    56     .52  1     5.0      3.0   1.03   1.40    .96   2.04   1.51    .00    .03   1.00  60.0  70.5   .46   .51     .45 1011 | Male   | Asian
    57     .52  1     5.0      3.0   1.03   2.12   2.10   2.73   2.14    .00   -.51   1.00  20.0  70.5   .46   .63     .45 897  | Male   | Latino
    58     .52  1     5.0      3.0   1.03   2.12   2.10   2.73   2.14    .00   -.51   1.00  20.0  70.5   .46   .63     .45 1063 | Male   | White
    59     .52  1     5.0      3.0   1.03   2.12   2.10   2.73   2.14    .00   -.51   1.00  20.0  70.5   .46   .63     .45 1061 | Male   | White
    60     .52  1     5.0      3.0   1.03   2.55   2.66   3.28   2.57    .00   -.87   1.00  20.0  70.5   .46   .69     .45 981  | Female | Latino
    61     .52  1     5.0      3.0   1.03   2.55   2.66   3.28   2.57    .00   -.87   1.00  20.0  70.5   .46   .69     .45 794  | Male   | White
    62    1.72  1     5.0      4.0   1.21   1.84   1.26   5.54   2.27    .00   -.70   1.00  80.0  80.0   .37   .50    1.40 1009 | Female | White
    63    1.72  1     5.0      4.0   1.21   1.84   1.26   5.54   2.27    .00   -.70   1.00  80.0  80.0   .37   .50    1.40 911  | Female | White
    64    1.72  1     5.0      4.0   1.21   1.84   1.26   5.54   2.27    .00   -.70   1.00  80.0  80.0   .37   .50    1.40 1136 | Female | White
    65    1.72  1     5.0      4.0   1.21   1.84   1.26   5.54   2.27    .00   -.70   1.00  80.0  80.0   .37   .50    1.40 1083 | Female | White
    66    1.72  1     5.0      4.0   1.21   1.84   1.26   5.54   2.27    .00   -.70   1.00  80.0  80.0   .37   .50    1.40 787  | Male   | Latino
    67    1.72  1     5.0      4.0   1.21   1.84   1.26   5.54   2.27    .00   -.70   1.00  80.0  80.0   .37   .50    1.40 1149 | Male   | White
    68    1.72  1     5.0      4.0   1.21   1.84   1.26   5.54   2.27    .00   -.70   1.00  80.0  80.0   .37   .50    1.40 1109 | Female | White
    69    1.72  1     5.0      4.0   1.21   1.84   1.26   5.54   2.27    .00   -.70   1.00  80.0  80.0   .37   .50    1.40 1013 | Male   | White
    70    1.72  1     5.0      4.0   1.21   1.84   1.26   5.54   2.27    .00   -.70   1.00  80.0  80.0   .37   .50    1.40 955  | Male   | White
    71    1.72  1     5.0      4.0   1.21   1.84   1.26   5.54   2.27    .00   -.70   1.00  80.0  80.0   .37   .50    1.40 1061 | Female | Asian
    72    1.72  1     5.0      4.0   1.21   1.84   1.26   5.54   2.27    .00   -.70   1.00  80.0  80.0   .37   .50    1.40 1054 | Male   | Asian
    73    1.72  1     5.0      4.0   1.21   1.84   1.26   5.54   2.27    .00   -.70   1.00  80.0  80.0   .37   .50    1.40 1037 | Female | White
    74    1.72  1     5.0      4.0   1.21   1.84   1.26   5.54   2.27    .00   -.70   1.00  80.0  80.0   .37   .50    1.40 1149 | Male   | Asian
    75    1.72  1     5.0      4.0   1.21   1.84   1.26   5.54   2.27    .00   -.70   1.00  80.0  80.0   .37   .50    1.40 972  | Female | Asian
    76    1.72  1     5.0      4.0   1.21   1.84   1.26   5.54   2.27    .00   -.70   1.00  80.0  80.0   .37   .50    1.40 870  | Male   | White
    77   -1.72  1     5.0      1.0   1.21    .59   -.56    .38   -.24    .00    .70   1.00  80.0  80.0   .37   .28   -1.41 1089 | Female | Multiple
    78   -1.72  1     5.0      1.0   1.21    .59   -.56    .38   -.24    .00    .70   1.00  80.0  80.0   .37   .28   -1.41 1147 | Female | White
    79   -1.72  1     5.0      1.0   1.21    .59   -.56    .38   -.24    .00    .70   1.00  80.0  80.0   .37   .28   -1.41 1008 | Male   | Latino
    80   -1.72  1     5.0      1.0   1.21    .59   -.56    .38   -.24    .00    .70   1.00  80.0  80.0   .37   .28   -1.41 971  | Female | White
    81   -1.72  1     5.0      1.0   1.21    .59   -.56    .38   -.24    .00    .70   1.00  80.0  80.0   .37   .28   -1.41 788  | Female | Latino
    82   -1.72  1     5.0      1.0   1.21    .59   -.56    .38   -.24    .00    .70   1.00  80.0  80.0   .37   .28   -1.41 989  | Male   | White
    83   -1.72  1     5.0      1.0   1.21    .59   -.56    .38   -.24    .00    .70   1.00  80.0  80.0   .37   .28   -1.41 862  | Male   | White
    84   -1.72  1     5.0      1.0   1.21    .59   -.56    .38   -.24    .00    .70   1.00  80.0  80.0   .37   .28   -1.41 1141 | Female | White
    85   -1.72  1     5.0      1.0   1.21    .59   -.56    .38   -.24    .00    .70   1.00  80.0  80.0   .37   .28   -1.41 1165 | Female | Asian
    86   -1.72  1     5.0      1.0   1.21    .59   -.56    .38   -.24    .00    .70   1.00  80.0  80.0   .37   .28   -1.41 1054 | Male   | White
    87    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 921  | Female | White
    88    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 1049 | Male   | White
    89    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 1040 | Male   | White
    90    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 990  | Female | White
    91    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 1056 | Male   | White
    92    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 1065 | Female | Latino
    93    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 970  | Female | White
    94    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 1136 | Male   | White
    95    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 940  | Male   | White
    96    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 1109 | Female | Latino
    97    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 1183 | Female | White
    98    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 908  | Male   | White
    99    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 949  | Female | Black
   100    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 1019 | Male   | Multiple
   101    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 844  | Female | Asian
   102    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 906  | Male   | White
   103    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 1152 | Male   | Multiple
   104    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 811  | Female | Black
   105    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 1193 | Male   | Asian
   106    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 1072 | Female | White
   107    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 1073 | Male   | Latino
   108    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 930  | Female | White
   109    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 904  | Female | White
   110    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 1194 | Female | White
   111    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 939  | Female | Black
   112    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 1027 | Male   | White
   113    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 1093 | Female | White
   114    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 962  | Male   | White
   115    -.52  1     5.0      2.0   1.03    .47  -1.36    .41  -1.02    .00    .87   1.00 100.0  72.3   .46   .30    -.46 1038 | Male   | Black
   116    -.52  1     5.0      2.0   1.03    .97    .07    .83   -.09    .00    .51   1.00  60.0  72.3   .46   .43    -.46 1083 | Female | White
   117    -.52  1     5.0      2.0   1.03    .97    .07    .83   -.09    .00    .51   1.00  60.0  72.3   .46   .43    -.46 959  | Male   | White
   118    -.52  1     5.0      2.0   1.03    .97    .07    .83   -.09    .00    .51   1.00  60.0  72.3   .46   .43    -.46 956  | Female | White
   119    -.52  1     5.0      2.0   1.03    .97    .07    .83   -.09    .00    .51   1.00  60.0  72.3   .46   .43    -.46 1057 | Male   | White
   120    -.52  1     5.0      2.0   1.03    .97    .07    .83   -.09    .00    .51   1.00  60.0  72.3   .46   .43    -.46 923  | Male   | Asian
   121    -.52  1     5.0      2.0   1.03    .97    .07    .83   -.09    .00    .51   1.00  60.0  72.3   .46   .43    -.46 1146 | Male   | White
   122    -.52  1     5.0      2.0   1.03    .97    .07    .83   -.09    .00    .51   1.00  60.0  72.3   .46   .43    -.46 1035 | Male   | White
   123    -.52  1     5.0      2.0   1.03    .97    .07    .83   -.09    .00    .51   1.00  60.0  72.3   .46   .43    -.46 899  | Female | Multiple
   124    -.52  1     5.0      2.0   1.03    .97    .07    .83   -.09    .00    .51   1.00  60.0  72.3   .46   .43    -.46 848  | Male   | Latino
   125    -.52  1     5.0      2.0   1.03    .97    .07    .83   -.09    .00    .51   1.00  60.0  72.3   .46   .43    -.46 817  | Male   | Latino
   126    -.52  1     5.0      2.0   1.03    .97    .07    .83   -.09    .00    .51   1.00  60.0  72.3   .46   .43    -.46 1040 | Male   | Asian
   127    -.52  1     5.0      2.0   1.03    .97    .07    .83   -.09    .00    .51   1.00  60.0  72.3   .46   .43    -.46 890  | Female | White
   128    -.52  1     5.0      2.0   1.03    .97    .07    .83   -.09    .00    .51   1.00  60.0  72.3   .46   .43    -.46 920  | Female | Black
   129    -.52  1     5.0      2.0   1.03    .97    .07    .83   -.09    .00    .51   1.00  60.0  72.3   .46   .43    -.46 1049 | Female | White
   130     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1021 | Female | White
   131     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1024 | Female | White
   132     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1000 | Male   | Latino
   133     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 867  | Male   | White
   134     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1085 | Male   | White
   135     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 852  | Female | White
   136     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1094 | Male   | Latino
   137     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 928  | Female | Asian
   138     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1023 | Female | Asian
   139     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1057 | Female | Latino
   140     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1012 | Female | White
   141     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 899  | Male   | White
   142     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1128 | Male   | White
   143     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 800  | Male   | White
   144     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1003 | Female | White
   145     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 866  | Female | White
   146     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 977  | Female | Black
   147     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 987  | Female | Latino
   148     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 931  | Male   | Asian
   149     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1198 | Male   | Asian
   150     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 926  | Male   | White
   151     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 998  | Male   | White
   152     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1190 | Male   | Black
   153     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1004 | Male   | Latino
   154     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 932  | Male   | Latino
   155     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1110 | Female | White
   156     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 984  | Female | Asian
   157     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1031 | Female | White
   158     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 942  | Male   | White
   159     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 993  | Female | Black
   160     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 916  | Male   | White
   161     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1057 | Female | White
   162     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 937  | Female | Asian
   163     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1120 | Female | Latino
   164     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1052 | Female | White
   165     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 900  | Female | Latino
   166     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1104 | Male   | White
   167     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1061 | Female | White
   168     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 857  | Male   | White
   169     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1147 | Male   | Latino
   170     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1064 | Female | White
   171     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 809  | Female | Latino
   172     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1058 | Male   | White
   173     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1062 | Male   | White
   174     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1175 | Female | White
   175     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 828  | Female | White
   176     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 940  | Male   | White
   177     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 968  | Male   | Asian
   178     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1030 | Female | White
   179     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 839  | Male   | White
   180     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 890  | Female | Multiple
   181     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 734  | Male   | White
   182     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 950  | Male   | White
   183     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 913  | Female | Multiple
   184     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1004 | Female | White
   185     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1052 | Female | White
   186     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 944  | Female | Latino
